ipa,license,other
c_m314,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_b848,http://creativecommons.org/licenses/by-sa/2.5/it/,
c_g963,http://creativecommons.org/licenses/by-sa/2.5/it/,
c_l769,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_a730,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_m355,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_a458,http://creativecommons.org/licenses/by-sa/2.5/it/,
c_c388,https://creativecommons.org/licenses/by/4.0/,Licenza CC-BY 4.0
c_l211,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l483,https://creativecommons.org/licenses/by/4.0/deed.it,http://creativecommons.org/licenses/by/4.0/deed.it
c_i286,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_a334,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_d566,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_f808,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons
c_h683,http://creativecommons.org/licenses/by/3.0/it/legalcode,http://creativecommons.org/licenses/by/3.0/it/legalcode
c_a158,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_b723,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l678,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_m356,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_f263,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_a637,http://creativecommons.org/licenses/by-sa/2.5/it/,
c_e048,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_f920,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_d622,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons
c_d663,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_b514,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_h288,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione - versione 3.0
c_i925,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_g491,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons
c_g429,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_e228,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_f351,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons 3.0 Italia
c_e584,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione 3.0 Italia (CC BY 3.0 IT)
c_i661,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_g690,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_c057,http://creativecommons.org/licenses/by-sa/2.5/it/,
c_h533,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione 3.0 Italia (CC BY 3.0 IT)
c_g296,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_a968,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_c797,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_h876,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_i158,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_f307,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_i436,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_b780,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons
c_g428,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_h323,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_I924,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_dez8,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_g808,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l194,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons
c_b165,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l090,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l511,http://creativecommons.org/licenses/by/2.5/it/,licenza Creative Commons - Attribuzione 2.5 Italia
c_f632,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_m357,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l100,http://creativecommons.org/licenses/by-sa/2.5/it/,
