ipa,homepage,status_code
c_i831,http://www.comune.sonico.bs.it,200
c_l949,http://www.comune.villafranca.vr.it,200
c_h285,http://www.comune.rifreddo.cn.it,200
c_e979,http://www.comune.martano.le.it,200
c_l785,http://www.comune.verrone.bi.it,200
c_g808,http://www.comune.pomarolo.tn.it/,200
c_mo7,http://www.comune.trevisobresciano.bs.it,ConnectionError
c_i825,http://www.comune.sommo.pv.it,200
c_b958,"""http://www.comune.casellelurani",InvalidSchema
c_l975,http://www.villanovadalbenga.com,200
c_b780,http://www.comune.carini.pa.it,200
c_g820,http://www.comune.ponderano.bi.it,200
c_f280,http://www.comune.moladibari.ba.it,200
c_e789,http://www.comunedimacra.cn.it,ConnectionError
c_d497,http://www.comune.fardella.pz.it,200
c_e951,http://www.comune.mariano-comense.co.it,ReadTimeout
c_d483,http://www.falvaterra.workmm.com/,200
c_e945,http://www.comune.margarita.cn.it,200
c_f294,http://www.comune.molise.cb.it,200
c_g834,http://www.comune.pontecagnanofaiano.sa.it,200
c_i819,http://www.comune.sommalombardo.va.it,200
c_l961,http://www.comune.villalfonsina.ch.it,200
c_b794,http://www.comune.carmignano.po.it,200
c_e574,http://www.comune.licciananardi.ms.it,200
c_c105,http://www.comune.castelfranci.av.it,200
c_a712,http://www.comune.bastidapancarana.pv.it,200
c_i428,http://www.comune.sardara.vs.it,200
c_a074,http://www.comune.aglie.to.it,200
c_h736,http://www.comune.samarate.va.it,200
c_c663,http://www.comune.chiusi-della-verna.arezzo.it,200
c_e212,http://www.comune.grotteria.rc.it/,200
c_d118,http://www.comunecostermano.it,200
c_l544,http://www.comune.valbondione.bg.it,ReadTimeout
c_b569,http://www.comune.campotosto.aq.it,200
c_e206,http://www.comune.grottaminarda.av.it,200
c_a060,http://www.comune.adro.bs.it,200
c_g411,http://pedivigliano.asmenet.it/,200
c_g377,http://www.comune.patti.me.it,200
c_a706,http://www.comune.bassanointeverina.vt.it,200
c_e560,http://www.comune.levanto.sp.it,200
c_c111,http://www.comune.castelfranco-veneto.tv.it,200
c_i372,http://www.comune.santo-stefano-roero.cn.it,200
c_f041,http://www.comunemassello.to.it,ConnectionError
c_e548,http://www.comune.terenzo.pr.it,200
c_b227,http://www.comune.brusciano.na.it,200
c_c139,http://www.comune.castellanza.va.it,200
c_d656,http://www.comune.follonica.gr.it,200
c_b541,http://www.comunecampolattaro.it,200
c_i414,http://www.comunesanzenodimontagna.it,200
c_f727,http://www.comune.morgongiori.or.it,200
c_a048,http://www.comune.acquaviva.ba.it,200
c_g439,http://www.comunedipentone.gov.it,200
c_i400,http://www.comune.roiate.rm.it,200
c_f733,http://www.comune.moriondo.to.it,200
c_d124,http://comune.cottanello.it,503
c_l578,http://www.comune.valgioie.to.it,200
c_b555,http://www.comune.campora.sa.it,200
c_c893,http://www.comune.cologne.bs.it,200
c_m100,http://www.comune.vizzini.ct.it,200
c_f055,http://www.comune.matrice.cb.it,200
c_a909,http://www.comune.bobbio.pc.it,200
c_d871,http://www.comune.galliatelombardo.va.it,200
c_c878,http://www.comune.colliavolturno.is.it,200
c_l593,http://www.comune.vallelomellina.pv.it,200
c_f914,http://www.comune.noceto.pr.it/,200
c_h939,http//www.comune.sangregoriomatese.ce.it,MissingSchema
c_d865,http://www.comune.galbiate.lc.it,200
c_h087,http://puglianello.asmenet.it/,403
c_d695,http://www.comune.fordongianus.or.it,200
c_f082,http://www.comune.medesano.pr.it,200
c_b582,http://www.comune.canda.ro.it,200
c_c844,http://www.comunedicollarmele.it,200
c_c850,http://www.comune.collebeato.bs.it,200
c_f096,http://www.comune.melazzo.al.it,200
c_g388,http://www.comune.pv.it,200
c_d681,http://www.comune.fontecchio.aq.it,200
c_d859,http://www.comune.gairo.og.it,200
c_c846,http://www.comune.collesannita.bn.it/,200
c_b580,http://www.comune.cancellara.pz.it,200
c_h913,http://www.comunevsgtuscia.it,200
c_a089,http://www.comune.agrigento.it,200
c_a937,http://www.comune.bolgare.bg.it,200
c_f080,http://www.comune.mede.pv.it,200
c_d697,http://www.comune.forestosparso.bg.it,200
c_d683,http://www.comune.fontegreca.ce.it,200
c_h907,http://www.comune.sangiovanniapiro.sa.it,200
c_c852,http://www.comune.collecchio.pr.it,200
c_b594,http://www.comune.canelli.at.it,200
c_f902,http://www.comune.nizza.at.it,200
c_l591,http://www.comune.valledimaddaloni.ce.it,200
c_d873,http://www.galliavola.eu,ConnectionError
c_h091,http://www.comune.pumenengo.bg.it,200
c_h085,http://www.comune.prunetto.cn.it,200
c_d867,http://www.comune.galeata.fc.it,200
c_l256sa,http://www.comune.torredarese.pv.it,200
c_f916,http://www.comune.nociglia.le.it,200
c_h708,http://www.comune.salicesalentino.le.it,200
c_i416,http://www.comune.sanzenonealpo.pv.it/,200
c_f725,http://www.comune.morgano.tv.it,200
c_c885,http://www.colloredodimontealbano.ud.it,ConnectionError
c_b543,http://www.comune.campoliappennino.fr.it,200
c_d654,http://www.comune.follina.tv.it,200
c_m116,http://www.comune.volongo.cr.it,200
c_b225,http://www.comune.brusasco.to.gov.it,200
c_i370,http://www.santostefanodicamastra.eu,200
c_f043,http://www.comune.sanmarcoevangelista.ce.it,200
c_i364,http://www.comune.villasantostefano.fr.it,200
c_a738,http://www.comune.belfortemonferrato.al.it,200
c_g349,http://www.comune.paruzzaro.no.it,200
c_d640,http://www.comune.flussio.or.it,200
c_d898,http://www.comune.gamberale.ch.it,200
c_m102,http://www.comune.vizzolopredabissi.mi.it,200
c_e238,http://www.comune.guardamiglio.lo.it,200
c_b557,http://www.comune.camporgiano.lu.it,200
c_c649,http://www.comune.chiuduno.bg.it,200
c_d126,http://www.comune.covo.bg.it,200
c_i402,http://www.comune.sanvito.ca.it,200
c_f731,http://www.halleyweb.com/c065077/hh/index.php,200
c_c661,http://www.comune.chiusdino.siena.it,200
c_l552,http://www.comune.valdaora.bz.it,200
c_g407,http://www.comune.sanpaolo.bs.it,200
c_h734,http://www.comune.salzadipinerolo.to.it,200
c_a076,http://www.comune.agnadello.cr.it,200
c_a710,http://www.comunebastiaumbra.gov.it,200
c_g361,http://www.comune.passirano.bs.it,200
c_h052,http://www.comune.pretoro.ch.it,200
c_d668,http://www.comune.fontanelice.bo.it,200
c_c107,http://www.comune.castelfranco-emilia.mo.it,200
c_b219,http://www.comune.brunello.va.it,200
c_e576,http://comunedilicenza.it,ConnectionError
c_c113,https://www.comune.castelfranco.pi.it,200
c_l220,http://www.comune.toritto.ba.it,200
c_e562,http://www.comune.levate.bg.it,200
c_a704,http://www.comune.bassanoromano.vt.it,200
c_h046,http://www.presezzo.gov.it,200
c_h720,http://www.comune.salsomaggiore-terme.pr.it,200
c_a062,http://www.affile.org,ConnectionError
c_e204,http://www.comune.grottaferrata.rm.it,200
c_c675,http://www.comune.cicciano.na.it,200
c_l546,http://www.comune.valbrevenna.ge.it,200
c_e953,http://www.comune.marianopoli.cl.it,200
c_g822,http://www.comune.ponsacco.pi.it,200
c_b782,http://www.comune.carisio.vc.it,200
c_l977,http://www.comune.villanova.lo.it,200
c_b796,http://www.comune.carnago.va.it,200
c_c488,http://www.comune.cercepiccola.cb.it,200
c_g836,http://www.comune.pontecchio.ro.it,200
c_g188,http://www.comune.otranto.le.it,200
c_e947,http://www.comune.margno.lc.it,200
c_h293,http://www.comune.rimella.vc.it,200
c_fu3v,http://www.comune.sammicheledibari.ba.it,200
c_b966,http://comunecasignana.rc.it/,ConnectionError
c_I827,http://www.comune.soncino.cr.it,200
c_l787,http://www.comune.verruasavoia.to.it,200
c_i199,http://www.comune.santagatadimilitello.me.it,200
c_h287,http://www.comune.rignanogarganico.fg.it,200
c_f241,http://www.comune.mirano.ve.it,200
c_e748,http://www.comune.lupara.cb.it,200
c_m314,http://www.comune.comanoterme.tn.it,200
c_c339,http://www.comune.castrocarotermeeterradelsole.fc.it,200
c_e990,http://www.comune.martirano.cz.it,200
c_d456,http://www.comunefaedovaltellino.gov.it,200
c_b999,http://www.comune.cassanovalcuvia.va.it,200
c_d330,http://www.comune.domegge.bl.gov.it/,200
c_b741,http://www.comune.carbonaraalticino.pv.it,200
c_f527,http://www.comune.montegrossodasti.at.it/servizi/notizie/notizie_homepage.aspx,200
c_i614,http://www.comune.sennori.ss.it,200
c_g639,http://www.comune.pievedelcairo.pv.it,200
