ipa,word
c_d171,OPENDATA
c_e625,Open data
c_h294,Statistiche e OpenData
c_g161,Open Data
c_i714,Search in Open Data
c_a324,"I materiali Open data sono liberamente riutilizzabili secondo i termini previsti dalla licenza indicata a fianco di ciascun dataset esposto, salvo diversa ed esplicita indicazione."
c_b158,Open Data
c_l097,Open Data
c_h607,Open Data
c_l886,Open Data
c_c765,"Inoltre, i link esterni sono ammessi se rispettano le regole di policy del Comune di Civita Castellana o se riguardano app che utilizzano esplicitamente gli Open data del Comune di Civita Castellana."
c_i411,Open Data
c_c773,Opendata
c_g419,Open Data
c_g337,Open Data
c_h754,Open Data
c_a826,"f) obbligo di pubblicare tutti gli atti, i documenti e le informazioni   di cui al presente comma anche in formato elettronico elaborabile e in   formati di dati aperti. Per formati di dati aperti si devono intendere   almeno i dati resi disponibili e fruibili on-line in formati non   proprietari, a condizioni tali da permetterne il più ampio riutilizzo   anche a fini statistici e la ridistribuzione senza ulteriori restrizioni   d'uso, di riuso o di diffusione diverse dall'obbligo di citare la fonte   e di rispettarne l'integrità';"
c_e921,Open data
c_g273,Open Data
c_d371,Open Data
c_f835,Open Data
c_a132,Open Data
c_l096,Open Data
c_l147,Open Data
c_m351,Open Data
c_a372,Open Data
c_e624,Open Data
c_a734,Open Data
c_e757,Open Data
c_c400,Open Data
c_b354,Open Data Open Service
c_g681,Open Data
c_f839,Open Data
c_f706,open data
c_i627,RL Open Data
c_c380,Open Data
c_l219,Open Data (AperTO)
c_c103,Open Data
c_i871,Open Data
c_l736,Open Data
c_d243,Open Data
c_f045,Open Data
c_i975,Open Data
